Bin,Hz,Power (mean sq amp),condition
242,36.93,0.00137627,gap_junc_block
243,37.08,0.00581495,gap_junc_block
244,37.23,0.0085497,gap_junc_block
245,37.38,0.000768439,gap_junc_block
246,37.54,0.000883119,gap_junc_block
247,37.69,0.00142061,gap_junc_block
248,37.84,0.00221013,gap_junc_block
249,37.99,0.00706929,gap_junc_block
250,38.15,0.00126012,gap_junc_block
251,38.3,0.000726141,gap_junc_block
252,38.45,0.00332504,gap_junc_block
253,38.6,0.00245217,gap_junc_block
254,38.76,0.00209054,gap_junc_block
255,38.91,0.00809135,gap_junc_block
256,39.06,0.00107297,gap_junc_block
257,39.22,0.00799691,gap_junc_block
258,39.37,0.0152974,gap_junc_block
259,39.52,0.00774016,gap_junc_block
260,39.67,0.0105151,gap_junc_block
261,39.83,0.00977097,gap_junc_block
262,39.98,0.0224885,gap_junc_block
263,40.13,0.0135117,gap_junc_block
264,40.28,0.00916038,gap_junc_block
265,40.44,0.017889,gap_junc_block
266,40.59,0.0695939,gap_junc_block
267,40.74,0.0230794,gap_junc_block
268,40.89,0.00871954,gap_junc_block
269,41.05,0.0149592,gap_junc_block
270,41.2,0.0546868,gap_junc_block
271,41.35,0.040066,gap_junc_block
272,41.5,0.0328254,gap_junc_block
273,41.66,0.0656542,gap_junc_block
274,41.81,0.00775387,gap_junc_block
275,41.96,0.00691967,gap_junc_block
276,42.11,0.0103473,gap_junc_block
277,42.27,0.00733576,gap_junc_block
278,42.42,0.00265892,gap_junc_block
279,42.57,0.019193,gap_junc_block
280,42.72,0.0100898,gap_junc_block
281,42.88,0.00817611,gap_junc_block
282,43.03,0.00319651,gap_junc_block
283,43.18,0.00282378,gap_junc_block
284,43.33,0.00216726,gap_junc_block
285,43.49,0.0154313,gap_junc_block
286,43.64,0.00347606,gap_junc_block
287,43.79,0.00779947,gap_junc_block
288,43.95,0.0131576,gap_junc_block
289,44.1,0.00750199,gap_junc_block
290,44.25,0.011477,gap_junc_block
291,44.4,0.00419493,gap_junc_block
292,44.56,0.0423584,gap_junc_block
293,44.71,0.00994783,gap_junc_block
294,44.86,0.0133065,gap_junc_block
295,45.01,0.00862917,gap_junc_block
296,45.17,0.0164428,gap_junc_block
297,45.32,0.00544303,gap_junc_block
298,45.47,0.0099827,gap_junc_block
299,45.62,0.000133795,gap_junc_block
300,45.78,0.0143326,gap_junc_block
301,45.93,0.0146135,gap_junc_block
302,46.08,0.0255853,gap_junc_block
303,46.23,0.177855,gap_junc_block
304,46.39,0.0665957,gap_junc_block
305,46.54,0.172549,gap_junc_block
306,46.69,0.311496,gap_junc_block
307,46.84,0.176981,gap_junc_block
308,47,0.145909,gap_junc_block
309,47.15,0.00522803,gap_junc_block
310,47.3,0.0837258,gap_junc_block
311,47.45,0.0851396,gap_junc_block
312,47.61,0.0243955,gap_junc_block
313,47.76,0.0709233,gap_junc_block
314,47.91,0.0203811,gap_junc_block
315,48.07,0.00420284,gap_junc_block
316,48.22,0.020694,gap_junc_block
317,48.37,0.00811002,gap_junc_block
318,48.52,0.00027418,gap_junc_block
319,48.68,0.00829937,gap_junc_block
320,48.83,0.00440546,gap_junc_block
321,48.98,0.000323873,gap_junc_block
322,49.13,0.000274028,gap_junc_block
323,49.29,0.00463002,gap_junc_block
324,49.44,0.00364459,gap_junc_block
325,49.59,0.0020123,gap_junc_block
326,49.74,0.00134864,gap_junc_block
327,49.9,0.00600379,gap_junc_block
328,50.05,0.0046892,gap_junc_block
329,50.2,8.49E-05,gap_junc_block
330,50.35,0.00166735,gap_junc_block
331,50.51,0.006459,gap_junc_block
332,50.66,0.00627675,gap_junc_block
333,50.81,0.00046059,gap_junc_block
334,50.96,0.000386567,gap_junc_block
335,51.12,0.000900167,gap_junc_block
336,51.27,0.00103946,gap_junc_block
337,51.42,0.00181264,gap_junc_block
338,51.57,0.00140718,gap_junc_block
339,51.73,0.000529594,gap_junc_block
340,51.88,0.000441215,gap_junc_block
341,52.03,0.000994131,gap_junc_block
342,52.19,0.000479851,gap_junc_block
343,52.34,0.00470582,gap_junc_block
344,52.49,0.000168728,gap_junc_block
345,52.64,0.000719637,gap_junc_block
346,52.8,0.000977372,gap_junc_block
347,52.95,0.000642465,gap_junc_block
348,53.1,0.000446122,gap_junc_block
349,53.25,0.000533062,gap_junc_block
350,53.41,0.000372112,gap_junc_block
351,53.56,0.00105517,gap_junc_block
352,53.71,0.00107353,gap_junc_block
353,53.86,0.00174196,gap_junc_block
354,54.02,0.0011456,gap_junc_block
355,54.17,0.00187273,gap_junc_block
356,54.32,0.00111508,gap_junc_block
357,54.47,0.00281283,gap_junc_block
358,54.63,0.00660143,gap_junc_block
359,54.78,0.000691312,gap_junc_block
360,54.93,0.00167381,gap_junc_block
361,55.08,0.00119764,gap_junc_block
362,55.24,0.00294992,gap_junc_block
363,55.39,0.0033194,gap_junc_block
364,55.54,0.00119575,gap_junc_block
365,55.69,0.00151977,gap_junc_block
366,55.85,0.0019901,gap_junc_block
367,56,0.00195873,gap_junc_block
